EPIC,Unnamed: 0,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,Class,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,58,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,r_z,J_K,g_z,g_i,J-K
211389428,66.0,0.294437,18.1524,17.0579,16.5692,16.3542,16.2506,15.11,14.472999999999999,14.287,132.742179,11.473550999999999,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.7525909284703144e+30,1.0087642760722682e+30,6.912527945600352e+29,0.7037000000000013,0.8229999999999986,1.7982000000000014,1.5832000000000015,0.8229999999999986
211389537,57.0,0.239662,16.3605,15.6824,15.43,15.3466,15.284,14.299000000000001,13.821,13.764000000000001,132.734254,11.475449000000001,SM,K1,5170.0,3.713,-0.26,5.89,-0.36,0.847,0.976,0.301,0.491,0.457,0.879,2.021,0.402,0.094,0.03,-0.064,-0.038,-0.013000000000000001,0.85,,,4.47,3.97,5.65,,,0.8140000000000001,K1V,,,,,,,,,,120.13880860480478,0.16280000000000003,0.10000000000000009,,3.1896281014059745e+31,4.724232079919543e+32,9.779213863473744e+30,1.0877946363067007e+32,0.335799999999999,0.5350000000000001,1.0138999999999978,0.9304999999999986,0.5350000000000001
211389931,64.0,0.259116,18.0779,16.9924,16.523,16.3186,16.1797,15.104000000000001,14.549000000000001,14.409,132.54853300000002,11.481864,M,K8,4000.0,3.602,-1.03,8.47,-1.1,1.3559999999999999,1.5619999999999998,0.7509999999999999,1.216,0.843,1.632,3.487,0.623,0.17600000000000002,0.081,,,,0.63,,,5.78,4.98,7.44,,,0.5870000000000001,K8V,,,,,,,,,,65.06407098365452,0.11740000000000002,0.13000000000000034,,4.388824163257169e+30,7.661807289480495e+30,1.273935063983215e+30,2.2934552225196235e+30,0.6738,0.6950000000000003,1.7592999999999996,1.5549,0.6950000000000003
211390071,67.0,0.091468,18.2958,17.1613,16.6625,16.4478,16.2979,15.323,14.524000000000001,14.300999999999998,133.117228,11.48442,M,M0.5,3800.0,3.58,-1.38,9.2,-1.27,1.4409999999999998,,0.902,1.1840000000000002,0.924,1.886,3.84,0.62,0.20800000000000002,0.13,,,,0.56,,,6.19,5.36,7.9,0.37,,0.535,M0.5V,,,,,,,,,,85.44003745101017,0.10700000000000001,0.08000000000000007,,2.7441861672404844e+30,2.6566309283287153e+30,9.064164601647388e+29,4.893695018525311e+29,0.7134999999999998,1.022000000000002,1.847999999999999,1.6332999999999984,1.022000000000002
211390107,51.0,0.218731,14.6696,14.2708,14.1499,14.1448,14.1199,13.306,12.968,12.886,133.128158,11.484909,SM,G5,5660.0,3.753,-0.13,4.98,-0.05,0.68,0.764,0.225,0.185,0.377,0.738,1.635,0.31,0.076,0.027999999999999997,-0.052000000000000005,-0.040999999999999995,-0.013999999999999999,0.98,,,3.74,3.35,4.84,,,0.982,G5V,V  ,1.49,0.49,0.16,0.06,0.78,0.29,0.03,3.54,47.258156258881655,0.19640000000000002,0.029999999999999805,,7.330444512198243e+31,3.0502204213412435e+33,1.7278433390614107e+31,2.107017621757896e+32,0.12599999999999945,0.41999999999999993,0.5248000000000008,0.5197000000000003,0.41999999999999993
211391125,56.0,0.169882,15.9295,15.3434,15.1351,15.064,15.003,14.065,13.638,13.626,132.632722,11.502091,SM,K0,5280.0,3.723,-0.22,5.76,-0.33,0.816,0.9440000000000001,0.28600000000000003,0.436,0.44299999999999995,0.853,1.953,0.387,0.091,0.03,-0.063,-0.037000000000000005,-0.015,0.87,,,4.29,3.81,5.54,,,0.8170000000000001,K0V,V  ,1.68,0.62,0.22,0.07,0.84,0.47,0.07,4.17,86.21678104048753,0.16340000000000002,0.10000000000000009,,3.701443634493218e+31,6.0859898590506785e+32,1.0122451715866837e+31,1.401350952556304e+32,0.27940000000000076,0.43900000000000006,0.8655000000000008,0.7944000000000013,0.43900000000000006
211391208,66.0,0.184155,19.1113,17.9016,17.2265,16.9349,16.7626,15.706,14.979000000000001,14.849,132.623992,11.503514,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.7525909284703144e+30,1.0087642760722682e+30,6.912527945600352e+29,0.9666999999999994,0.8569999999999993,2.176400000000001,1.8847999999999985,0.8569999999999993
211391297,67.0,0.089414,17.6376,16.6248,16.1543,15.9295,15.7977,14.735999999999999,14.128,13.877,132.665719,11.505111,M,M0.5,3800.0,3.58,-1.38,9.2,-1.27,1.4409999999999998,,0.902,1.1840000000000002,0.924,1.886,3.84,0.62,0.20800000000000002,0.13,,,,0.56,,,6.19,5.36,7.9,0.37,,0.535,M0.5V,,,,,,,,,,85.44003745101017,0.10700000000000001,0.08000000000000007,,2.7441861672404844e+30,2.6566309283287153e+30,9.064164601647388e+29,4.893695018525311e+29,0.6952999999999996,0.8589999999999982,1.7080999999999982,1.4832999999999998,0.8589999999999982
211391564,71.0,0.418259,19.1401,17.9102,17.2228,16.9186,16.7276,15.585999999999999,14.940999999999999,14.554,132.75913799999998,11.509701,M,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,0.9915999999999983,1.0319999999999983,2.221499999999999,1.917300000000001,1.0319999999999983
211391621,60.0,0.051851,16.6798,15.8258,15.4755,15.3243,15.2148,14.140999999999998,13.583,13.479000000000001,132.78845,11.510675,SM,K4,4620.0,3.665,-0.55,7.04,-0.71,1.1,1.306,0.47700000000000004,1.004,0.64,1.19,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009000000000000001,0.73,,,4.98,4.31,6.48,,,0.6890000000000001,K4V,V  ,2.21,1.0,0.38,0.16,1.01,0.59,0.1,5.21,209.9999999991451,0.1378,0.16000000000000014,,1.3393987013041351e+31,6.9876512970623325e+31,5.700977555370194e+30,2.574345873865e+31,0.5015000000000001,0.6619999999999973,1.355500000000001,1.2043,0.6619999999999973
